,date,hive_weight
665,2015-07-13 0:00:00,127.612
666,2015-07-14 0:00:00,127.737
667,2015-07-15 0:00:00,127.228
668,2015-07-16 0:00:00,126.73
669,2015-07-17 0:00:00,127.283
670,2015-07-18 0:00:00,128.341
671,2015-07-19 0:00:00,129.205
672,2015-07-20 0:00:00,129.653
673,2015-07-21 0:00:00,130.635
674,2015-07-22 0:00:00,132.155
675,2015-07-23 0:00:00,132.662
676,2015-07-24 0:00:00,132.483
677,2015-07-25 0:00:00,133.222
678,2015-07-26 0:00:00,133.972
679,2015-07-27 0:00:00,134.073
680,2015-07-28 0:00:00,134.486
681,2015-07-29 0:00:00,135.865
682,2015-07-30 0:00:00,135.488
683,2015-07-31 0:00:00,134.899
684,2015-08-01 0:00:00,134.57
685,2015-08-02 0:00:00,134.489
686,2015-08-03 0:00:00,134.125
687,2015-08-04 0:00:00,133.879
688,2015-08-05 0:00:00,133.521
689,2015-08-06 0:00:00,134.485
690,2015-08-07 0:00:00,135.307
691,2015-08-08 0:00:00,135.735
692,2015-08-09 0:00:00,135.594
693,2015-08-10 0:00:00,136.284
694,2015-08-11 0:00:00,136.599
695,2015-08-12 0:00:00,135.919
696,2015-08-13 0:00:00,135.78
697,2015-08-14 0:00:00,136.08
698,2015-08-15 0:00:00,136.893
699,2015-08-16 0:00:00,113.206
700,2015-08-17 0:00:00,104.474
701,2015-08-18 0:00:00,103.655
702,2015-08-19 0:00:00,103.245
703,2015-08-20 0:00:00,104.527
704,2015-08-21 0:00:00,105.215
705,2015-08-22 0:00:00,104.632
706,2015-08-23 0:00:00,105.429
707,2015-08-24 0:00:00,105.672
708,2015-08-25 0:00:00,105.023
709,2015-08-26 0:00:00,104.618
710,2015-08-27 0:00:00,104.797
711,2015-08-28 0:00:00,105.84
712,2015-08-29 0:00:00,106.31
713,2015-08-30 0:00:00,107.485
714,2015-08-31 0:00:00,106.589
715,2015-09-01 0:00:00,106.13
716,2015-09-02 0:00:00,105.861
717,2015-09-03 0:00:00,105.615
718,2015-09-04 0:00:00,105.284
719,2015-09-05 0:00:00,106.343
720,2015-09-06 0:00:00,106.698
721,2015-09-07 0:00:00,105.846
722,2015-09-08 0:00:00,105.349
723,2015-09-09 0:00:00,105.083
724,2015-09-10 0:00:00,105.031
725,2015-09-11 0:00:00,106.586
726,2015-09-12 0:00:00,107.175
727,2015-09-13 0:00:00,106.771
728,2015-09-14 0:00:00,106.96
729,2015-09-15 0:00:00,106.821
730,2015-09-16 0:00:00,106.573
731,2015-09-17 0:00:00,106.147
732,2015-09-18 0:00:00,105.53
733,2015-09-19 0:00:00,106.733
734,2015-09-20 0:00:00,106.96
735,2015-09-21 0:00:00,107.961
736,2015-09-22 0:00:00,108.653
737,2015-09-23 0:00:00,108.101
738,2015-09-24 0:00:00,107.572
739,2015-09-25 0:00:00,108.6
740,2015-09-26 0:00:00,108.697
741,2015-09-27 0:00:00,108.276
742,2015-09-28 0:00:00,108.103
743,2015-09-29 0:00:00,107.841
744,2015-09-30 0:00:00,108.155
745,2015-10-01 0:00:00,107.942
746,2015-10-02 0:00:00,109.013
747,2015-10-03 0:00:00,109.745
